subj,date,beeps,activity,gm,gmd_by,sitco,partner
ID1,1/1/2015,12,M,NA,NA,NA,NA
ID1,1/1/2015,2,ssitco,NA,NA,ID20,ID20
ID1,1/1/2015,1,gmd/sitco,NA,ID17,ID20,"ID17, ID20"
ID1,1/1/2015,3,gmd/sitco,NA,ID17,ID20,"ID17, ID20"
ID1,1/1/2015,2,gmd/sitco,NA,"ID17, ID14",ID20,"ID17, ID14, ID20"
ID1,1/1/2015,3,gmd/sitco,NA,ID14,ID20,"ID14, ID20"
ID1,1/1/2015,4,gmd/ssitco,NA,ID14,ID20,"ID14, ID20"
ID1,1/1/2015,3,sitco,NA,NA,ID20,ID20
ID2,1/1/2015,13,R,NA,NA,NA,NA
ID2,1/1/2015,3,gmd,NA,ID8,NA,ID8
ID2,1/1/2015,4,gm,ID8,NA,NA,ID8
ID2,1/1/2015,1,F,NA,NA,NA,NA
ID2,1/1/2015,2,M,NA,NA,NA,NA
ID2,1/1/2015,3,F,NA,NA,NA,NA
ID2,1/1/2015,4,F,NA,NA,NA,NA
ID3,1/1/2015,8,R,NA,NA,NA,NA
ID3,1/1/2015,8,F,NA,NA,NA,NA
ID3,1/1/2015,13,M,NA,NA,NA,NA
ID3,1/1/2015,1,F,NA,NA,NA,NA
ID4,1/2/2015,30,R,NA,NA,NA,NA
ID5,1/2/2015,30,R,NA,NA,NA,NA
ID2,1/2/2015,10,R,NA,NA,NA,NA
ID2,1/2/2015,2,M,NA,NA,NA,NA
ID2,1/2/2015,8,gm,ID5,NA,NA,ID5
ID2,1/2/2015,4,gmd,NA,ID5,NA,ID5
ID2,1/2/2015,6,R,NA,NA,NA,NA
ID6,1/2/2015,2,R,NA,NA,NA,NA
ID6,1/2/2015,4,gm,ID20,NA,NA,ID20
ID6,1/2/2015,8,M,NA,NA,NA,NA
ID6,1/2/2015,9,R,NA,NA,NA,NA
ID6,1/2/2015,7,F,NA,NA,NA,NA
ID7,1/2/2015,11,R,NA,NA,NA,NA
ID7,1/2/2015,7,M,NA,NA,NA,NA
ID7,1/2/2015,9,F,NA,NA,NA,NA
ID7,1/2/2015,3,F,NA,NA,NA,NA
ID8,1/3/2015,11,R,NA,NA,NA,NA
ID8,1/3/2015,1,R,NA,NA,NA,NA
ID8,1/3/2015,11,M,NA,NA,NA,NA
ID8,1/3/2015,3,F,NA,NA,NA,NA
ID8,1/3/2015,4,F,NA,NA,NA,NA
ID3,1/3/2015,20,R,NA,NA,NA,NA
ID3,1/3/2015,2,gm,ID21,NA,NA,ID21
ID3,1/3/2015,1,M,NA,NA,NA,NA
ID3,1/3/2015,2,R,NA,NA,NA,NA
ID3,1/3/2015,2,F,NA,NA,NA,NA
ID3,1/3/2015,3,F,NA,NA,NA,NA
ID9,1/3/2015,25,R,NA,NA,NA,NA
ID9,1/3/2015,1,R,NA,NA,NA,NA
ID9,1/3/2015,2,F,NA,NA,NA,NA
ID9,1/3/2015,2,M,NA,NA,NA,NA
ID10,1/3/2015,30,R,NA,NA,NA,NA
ID11,1/3/2015,9,F,NA,NA,NA,NA
ID11,1/3/2015,3,R,NA,NA,NA,NA
ID11,1/3/2015,3,F,NA,NA,NA,NA
ID11,1/3/2015,8,M,NA,NA,NA,NA
ID11,1/3/2015,3,F,NA,NA,NA,NA
ID11,1/3/2015,4,F,NA,NA,NA,NA
ID5,1/3/2015,2,F,NA,NA,NA,NA
ID5,1/3/2015,6,R,NA,NA,NA,NA
ID5,1/3/2015,3,F,NA,NA,NA,NA
ID5,1/3/2015,5,M,NA,NA,NA,NA
ID5,1/3/2015,2,F,NA,NA,NA,NA
ID5,1/3/2015,2,F,NA,NA,NA,NA
ID5,1/3/2015,4,F,NA,NA,NA,NA
ID5,1/3/2015,6,F,NA,NA,NA,NA
ID2,1/3/2015,1,F,NA,NA,NA,NA
ID2,1/3/2015,17,R,NA,NA,NA,NA
ID2,1/3/2015,6,M,NA,NA,NA,NA
ID2,1/3/2015,2,gmd,NA,ID8,NA,ID8
ID2,1/3/2015,2,gm,ID8,NA,NA,ID8
ID2,1/3/2015,1,gm,ID8,NA,NA,ID8
ID2,1/3/2015,1,gmd,NA,ID8,NA,ID8
ID12,1/3/2015,8,R,NA,NA,NA,NA
ID12,1/3/2015,17,R,NA,NA,NA,NA
ID12,1/3/2015,3,gm,ID22,NA,NA,ID22
ID12,1/3/2015,2,R,NA,NA,NA,NA
ID1,1/4/2015,24,F/sitco,NA,NA,ID20,ID20
ID1,1/4/2015,2,M,NA,NA,NA,NA
ID1,1/4/2015,3,F/sitco,NA,NA,ID20,ID20
ID1,1/4/2015,1,sitco,NA,NA,ID20,ID20
ID13,1/4/2015,1,F,NA,NA,NA,NA
ID13,1/4/2015,9,R,NA,NA,NA,NA
ID13,1/4/2015,7,M,NA,NA,NA,NA
ID13,1/4/2015,3,F,NA,NA,NA,NA
ID13,1/4/2015,2,sitco,NA,NA,ID1,ID1
ID13,1/4/2015,1,sitco,NA,NA,ID20,ID20
ID13,1/4/2015,2,F,NA,NA,NA,NA
ID13,1/4/2015,2,F,NA,NA,NA,NA
ID13,1/4/2015,3,F,NA,NA,NA,NA
ID14,1/4/2015,3,gm,ID23,NA,NA,ID23
ID14,1/4/2015,3,gm/sitco,ID24,NA,ID23,"ID24, ID23"
ID14,1/4/2015,2,gm,ID24,NA,NA,ID24
ID14,1/4/2015,1,M,NA,NA,NA,NA
ID14,1/4/2015,3,gm,ID3,NA,NA,ID3
ID14,1/4/2015,1,sitco,NA,NA,ID3,ID3
ID14,1/4/2015,2,gmd,NA,ID3,NA,ID3
ID14,1/4/2015,3,gm,ID25,NA,NA,ID25
ID14,1/4/2015,2,gmd,NA,ID25,NA,ID25
ID14,1/4/2015,4,gmd/sitco,NA,ID25,ID23,"ID25, ID23"
ID14,1/4/2015,2,sitco,NA,NA,"ID23, ID25","ID23, ID25"
ID14,1/4/2015,1,gm/gmd,ID23,ID25,NA,"ID23, ID25"
ID14,1/4/2015,2,gm/sitco,ID25,NA,ID23,"ID25, ID23"
ID14,1/4/2015,1,gmd,NA,ID25,NA,ID25
ID10,1/4/2015,1,F,NA,NA,NA,NA
ID10,1/4/2015,29,R,NA,NA,NA,NA
ID15,1/4/2015,5,gm,ID19,NA,NA,ID19
ID15,1/4/2015,1,R,NA,NA,NA,NA
ID15,1/4/2015,5,M,NA,NA,NA,NA
ID15,1/4/2015,17,R,NA,NA,NA,NA
ID15,1/4/2015,1,F,NA,NA,NA,NA
ID15,1/4/2015,1,F,NA,NA,NA,NA
ID6,1/4/2015,9,R,NA,NA,NA,NA
ID6,1/4/2015,2,ssitco,NA,NA,ID20,ID20
ID6,1/4/2015,2,gmd/ssitco,NA,ID8,ID20,"ID8, ID20"
ID6,1/4/2015,4,gm,ID8,NA,NA,ID8
ID6,1/4/2015,2,gmd,NA,ID8,NA,ID8
ID6,1/4/2015,2,sitco,NA,NA,ID8,ID8
ID6,1/4/2015,4,M,NA,NA,NA,NA
ID6,1/4/2015,2,F,NA,NA,NA,NA
ID6,1/4/2015,2,F,NA,NA,NA,NA
ID6,1/4/2015,1,F,NA,NA,NA,NA
ID11,1/4/2015,16,R,NA,NA,NA,NA
ID11,1/4/2015,2,F,NA,NA,NA,NA
ID11,1/4/2015,2,F,NA,NA,NA,NA
ID11,1/4/2015,1,F,NA,NA,NA,NA
ID11,1/4/2015,6,M,NA,NA,NA,NA
ID11,1/4/2015,1,F,NA,NA,NA,NA
ID11,1/4/2015,2,F,NA,NA,NA,NA
ID12,1/4/2015,7,M,NA,NA,NA,NA
ID12,1/4/2015,14,R,NA,NA,NA,NA
ID12,1/4/2015,1,R,NA,NA,NA,NA
ID12,1/4/2015,1,F,NA,NA,NA,NA
ID12,1/4/2015,2,F,NA,NA,NA,NA
ID12,1/4/2015,5,F,NA,NA,NA,NA
ID9,1/4/2015,8,R,NA,NA,NA,NA
ID9,1/4/2015,5,gm,ID26,NA,NA,ID26
ID9,1/4/2015,4,M,NA,NA,NA,NA
ID9,1/4/2015,1,F,NA,NA,NA,NA
ID9,1/4/2015,2,F,NA,NA,NA,NA
ID9,1/4/2015,5,F,NA,NA,NA,NA
ID9,1/4/2015,3,F,NA,NA,NA,NA
ID9,1/4/2015,2,F,NA,NA,NA,NA
ID8,1/4/2015,4,M,NA,NA,NA,NA
ID8,1/4/2015,14,R,NA,NA,NA,NA
ID8,1/4/2015,2,ssitco,NA,NA,ID27,ID27
ID8,1/4/2015,6,sitco,NA,NA,ID27,ID27
ID8,1/4/2015,2,R,NA,NA,NA,NA
ID8,1/4/2015,2,F,NA,NA,NA,NA
ID15,1/5/2015,7,M,NA,NA,NA,NA
ID15,1/5/2015,1,R,NA,NA,NA,NA
ID15,1/5/2015,1,F,NA,NA,NA,NA
ID15,1/5/2015,1,F,NA,NA,NA,NA
ID15,1/5/2015,10,F,NA,NA,NA,NA
ID15,1/5/2015,9,F,NA,NA,NA,NA
ID15,1/5/2015,1,F,NA,NA,NA,NA
ID7,1/5/2015,7,F,NA,NA,NA,NA
ID7,1/5/2015,9,M,NA,NA,NA,NA
ID7,1/5/2015,4,F,NA,NA,NA,NA
ID7,1/5/2015,5,F,NA,NA,NA,NA
ID7,1/5/2015,1,F,NA,NA,NA,NA
ID7,1/5/2015,2,F,NA,NA,NA,NA
ID7,1/5/2015,2,R,NA,NA,NA,NA
ID4,1/5/2015,16,R,NA,NA,NA,NA
ID4,1/5/2015,1,R,NA,NA,NA,NA
ID4,1/5/2015,4,gm,ID2,NA,NA,ID2
ID4,1/5/2015,1,gmd,NA,ID2,NA,ID2
ID4,1/5/2015,1,gm,ID2,NA,NA,ID2
ID4,1/5/2015,1,gmd,NA,ID2,NA,ID2
ID4,1/5/2015,1,R,NA,NA,NA,NA
ID4,1/5/2015,2,gmd,NA,ID10,NA,ID10
ID4,1/5/2015,1,gmd,NA,ID10,NA,ID10
ID4,1/5/2015,1,M,NA,NA,NA,NA
ID4,1/5/2015,1,F,NA,NA,NA,NA
ID9,1/5/2015,3,F,NA,NA,NA,NA
ID9,1/5/2015,1,F,NA,NA,NA,NA
ID9,1/5/2015,1,F,NA,NA,NA,NA
ID9,1/5/2015,1,F,NA,NA,NA,NA
ID9,1/5/2015,3,F,NA,NA,NA,NA
ID9,1/5/2015,6,F,NA,NA,NA,NA
ID9,1/5/2015,10,M,NA,NA,NA,NA
ID9,1/5/2015,2,F,NA,NA,NA,NA
ID9,1/5/2015,1,R,NA,NA,NA,NA
ID9,1/5/2015,2,F,NA,NA,NA,NA
ID16,1/5/2015,4,F,NA,NA,NA,NA
ID16,1/5/2015,1,M,NA,NA,NA,NA
ID16,1/5/2015,2,F,NA,NA,NA,NA
ID16,1/5/2015,2,F,NA,NA,NA,NA
ID16,1/5/2015,1,F,NA,NA,NA,NA
ID16,1/5/2015,3,R,NA,NA,NA,NA
ID16,1/5/2015,3,F,NA,NA,NA,NA
ID16,1/5/2015,1,F/sitco,NA,NA,ID28,ID28
ID16,1/5/2015,1,F/sitco,NA,NA,ID28,ID28
ID16,1/5/2015,1,F/sitco,NA,NA,ID28,ID28
ID16,1/5/2015,1,sitco,NA,NA,"ID28, ID25","ID28, ID25"
ID16,1/5/2015,1,F/sitco,NA,NA,"ID28, ID25","ID28, ID25"
ID16,1/5/2015,1,F/sitco,NA,NA,"ID28, ID25","ID28, ID25"
ID16,1/5/2015,1,F,NA,NA,NA,NA
ID16,1/5/2015,2,F,NA,NA,NA,NA
ID16,1/5/2015,1,F,NA,NA,NA,NA
ID16,1/5/2015,1,F,NA,NA,NA,NA
ID16,1/5/2015,3,F,NA,NA,NA,NA
ID15,1/6/2015,7,M,NA,NA,NA,NA
ID15,1/6/2015,7,R,NA,NA,NA,NA
ID15,1/6/2015,6,F,NA,NA,NA,NA
ID15,1/6/2015,5,F,NA,NA,NA,NA
ID15,1/6/2015,5,F,NA,NA,NA,NA
ID11,1/6/2015,16,R,NA,NA,NA,NA
ID11,1/6/2015,9,M,NA,NA,NA,NA
ID11,1/6/2015,3,F,NA,NA,NA,NA
ID11,1/6/2015,2,F,NA,NA,NA,NA
ID4,1/6/2015,4,gm,ID17,NA,NA,ID17
ID4,1/6/2015,1,R,NA,NA,NA,NA
ID4,1/6/2015,1,F,NA,NA,NA,NA
ID4,1/6/2015,8,M,NA,NA,NA,NA
ID4,1/6/2015,8,R,NA,NA,NA,NA
ID4,1/6/2015,2,F,NA,NA,NA,NA
ID4,1/6/2015,4,F,NA,NA,NA,NA
ID4,1/6/2015,2,F,NA,NA,NA,NA
ID8,1/6/2015,17,F,NA,NA,NA,NA
ID8,1/6/2015,7,R,NA,NA,NA,NA
ID8,1/6/2015,3,M,NA,NA,NA,NA
ID8,1/6/2015,3,F,NA,NA,NA,NA
ID16,1/7/2015,16,R,NA,NA,NA,NA
ID16,1/7/2015,4,M,NA,NA,NA,NA
ID16,1/7/2015,1,sitco,NA,NA,ID4,ID4
ID16,1/7/2015,1,F,NA,NA,NA,NA
ID16,1/7/2015,3,F,NA,NA,NA,NA
ID16,1/7/2015,2,F,NA,NA,NA,NA
ID16,1/7/2015,1,F,NA,NA,NA,NA
ID16,1/7/2015,1,ssitco,NA,NA,ID29,ID29
ID16,1/7/2015,1,sitco,NA,NA,ID29,ID29
ID7,1/7/2015,1,F,NA,NA,NA,NA
ID7,1/7/2015,1,R,NA,NA,NA,NA
ID7,1/7/2015,3,M,NA,NA,NA,NA
ID7,1/7/2015,7,F,NA,NA,NA,NA
ID7,1/7/2015,2,R,NA,NA,NA,NA
ID7,1/7/2015,1,F,NA,NA,NA,NA
ID7,1/7/2015,15,F,NA,NA,NA,NA
ID8,1/7/2015,15,R,NA,NA,NA,NA
ID8,1/7/2015,4,gm,ID27,NA,NA,ID27
ID8,1/7/2015,6,M,NA,NA,NA,NA
ID8,1/7/2015,1,F,NA,NA,NA,NA
ID8,1/7/2015,2,F,NA,NA,NA,NA
ID8,1/7/2015,1,R,NA,NA,NA,NA
ID8,1/7/2015,1,F,NA,NA,NA,NA
ID5,1/7/2015,24,R,NA,NA,NA,NA
ID5,1/7/2015,6,M,NA,NA,NA,NA
ID15,1/7/2015,6,gm,ID19,NA,NA,ID19
ID15,1/7/2015,7,gmd,NA,ID19,NA,ID19
ID15,1/7/2015,2,sitco,NA,NA,ID19,ID19
ID15,1/7/2015,3,M,NA,NA,NA,NA
ID15,1/7/2015,6,R,NA,NA,NA,NA
ID15,1/7/2015,4,F,NA,NA,NA,NA
ID15,1/7/2015,2,F,NA,NA,NA,NA
ID11,1/7/2015,6,M,NA,NA,NA,NA
ID11,1/7/2015,10,R,NA,NA,NA,NA
ID11,1/7/2015,1,F,NA,NA,NA,NA
ID11,1/7/2015,1,F,NA,NA,NA,NA
ID11,1/7/2015,2,F,NA,NA,NA,NA
ID11,1/7/2015,4,F,NA,NA,NA,NA
ID11,1/7/2015,3,F,NA,NA,NA,NA
ID11,1/7/2015,3,F,NA,NA,NA,NA
ID10,1/7/2015,16,R,NA,NA,NA,NA
ID10,1/7/2015,6,M,NA,NA,NA,NA
ID10,1/7/2015,4,F,NA,NA,NA,NA
ID10,1/7/2015,4,F,NA,NA,NA,NA
ID13,1/7/2015,6,F,NA,NA,NA,NA
ID13,1/7/2015,7,M,NA,NA,NA,NA
ID13,1/7/2015,9,R,NA,NA,NA,NA
ID13,1/7/2015,3,F,NA,NA,NA,NA
ID13,1/7/2015,2,F,NA,NA,NA,NA
ID13,1/7/2015,1,F,NA,NA,NA,NA
ID13,1/7/2015,1,F,NA,NA,NA,NA
ID13,1/7/2015,1,F,NA,NA,NA,NA
ID1,1/7/2015,11,sitco,NA,NA,ID20,ID20
ID1,1/7/2015,1,gm,ID20,NA,NA,ID20
ID1,1/7/2015,2,gm/sitco,ID20,NA,ID14,"ID20, ID14"
ID1,1/7/2015,1,gm/sitco,ID20,NA,ID14,"ID20, ID14"
ID1,1/7/2015,5,M,NA,NA,NA,NA
ID1,1/7/2015,2,sitco,NA,NA,"ID20, ID30","ID20, ID30"
ID1,1/7/2015,1,sitco,NA,NA,ID20,ID20
ID1,1/7/2015,3,gmd/sitco,NA,ID31,ID20,"ID31, ID20"
ID1,1/7/2015,1,sitco,NA,NA,"ID31, ID20","ID31, ID20"
ID1,1/7/2015,1,F,NA,NA,NA,NA
ID1,1/7/2015,1,R,NA,NA,NA,NA
ID1,1/7/2015,1,F/sitco,NA,NA,ID20,ID20
ID17,1/7/2015,5,M,NA,NA,NA,NA
ID17,1/7/2015,9,R,NA,NA,NA,NA
ID17,1/7/2015,3,F,NA,NA,NA,NA
ID17,1/7/2015,2,F,NA,NA,NA,NA
ID17,1/7/2015,1,F,NA,NA,NA,NA
ID17,1/7/2015,1,R,NA,NA,NA,NA
ID17,1/7/2015,2,gmd,NA,ID18,NA,ID18
ID17,1/7/2015,1,gm,ID18,NA,NA,ID18
ID17,1/7/2015,4,R,NA,NA,NA,NA
ID17,1/7/2015,1,F,NA,NA,NA,NA
ID17,1/7/2015,1,F,NA,NA,NA,NA
ID12,1/7/2015,24,R,NA,NA,NA,NA
ID12,1/7/2015,5,M,NA,NA,NA,NA
ID12,1/7/2015,1,F,NA,NA,NA,NA
ID3,1/7/2015,5,R,NA,NA,NA,NA
ID3,1/7/2015,6,M,NA,NA,NA,NA
ID3,1/7/2015,2,F,NA,NA,NA,NA
ID3,1/7/2015,8,F,NA,NA,NA,NA
ID3,1/7/2015,7,F,NA,NA,NA,NA
ID3,1/7/2015,2,F,NA,NA,NA,NA
ID6,1/7/2015,3,F,NA,NA,NA,NA
ID6,1/7/2015,2,F,NA,NA,NA,NA
ID6,1/7/2015,8,M,NA,NA,NA,NA
ID6,1/7/2015,7,R,NA,NA,NA,NA
ID6,1/7/2015,5,F,NA,NA,NA,NA
ID6,1/7/2015,2,gm,ID20,NA,NA,ID20
ID6,1/7/2015,1,F,NA,NA,NA,NA
ID6,1/7/2015,1,F,NA,NA,NA,NA
ID6,1/7/2015,1,F,NA,NA,NA,NA
ID4,1/8/2015,10,R,NA,NA,NA,NA
ID4,1/8/2015,1,F,NA,NA,NA,NA
ID4,1/8/2015,7,M,NA,NA,NA,NA
ID4,1/8/2015,5,F,NA,NA,NA,NA
ID4,1/8/2015,1,F,NA,NA,NA,NA
ID4,1/8/2015,3,gmd,NA,ID3,NA,ID3
ID4,1/8/2015,3,gm,ID3,NA,NA,ID3
ID12,1/8/2015,5,F,NA,NA,NA,NA
ID12,1/8/2015,1,F,NA,NA,NA,NA
ID12,1/8/2015,14,R,NA,NA,NA,NA
ID12,1/8/2015,7,M,NA,NA,NA,NA
ID12,1/8/2015,2,F,NA,NA,NA,NA
ID12,1/8/2015,1,F,NA,NA,NA,NA
ID3,1/8/2015,2,gmd,NA,ID4,NA,ID4
ID3,1/8/2015,2,gm,ID4,NA,NA,ID4
ID3,1/8/2015,1,R,NA,NA,NA,NA
ID3,1/8/2015,14,gm,ID16,NA,NA,ID16
ID3,1/8/2015,2,pg,NA,NA,NA,NA
ID3,1/8/2015,4,gmd,NA,ID16,NA,ID16
ID3,1/8/2015,2,pgd,NA,NA,NA,NA
ID3,1/8/2015,1,R,NA,NA,NA,NA
ID3,1/8/2015,1,R,NA,NA,NA,NA
ID3,1/8/2015,1,M,NA,NA,NA,NA
ID2,1/8/2015,16,R,NA,NA,NA,NA
ID2,1/8/2015,3,M,NA,NA,NA,NA
ID2,1/8/2015,1,F,NA,NA,NA,NA
ID13,1/8/2015,16,R,NA,NA,NA,NA
ID13,1/8/2015,3,M,NA,NA,NA,NA
ID13,1/8/2015,1,gm,NA,NA,NA,NA
ID13,1/8/2015,1,gm,NA,NA,NA,NA
ID13,1/8/2015,1,R,NA,NA,NA,NA
ID13,1/8/2015,7,gm,ID32,NA,NA,ID32
ID13,1/8/2015,1,sitco,NA,NA,ID32,ID32
ID17,1/8/2015,26,R,NA,NA,NA,NA
ID17,1/8/2015,3,F,NA,NA,NA,NA
ID17,1/8/2015,1,M,NA,NA,NA,NA
ID10,1/9/2015,6,F,NA,NA,NA,NA
ID10,1/9/2015,2,F,NA,NA,NA,NA
ID10,1/9/2015,13,M,NA,NA,NA,NA
ID10,1/9/2015,4,R,NA,NA,NA,NA
ID5,1/9/2015,8,R,NA,NA,NA,NA
ID5,1/9/2015,1,sitco,NA,NA,ID13,ID13
ID5,1/9/2015,3,R,NA,NA,NA,NA
ID5,1/9/2015,2,gm,ID33,NA,NA,ID33
ID5,1/9/2015,2,R,NA,NA,NA,NA
ID5,1/9/2015,2,F,NA,NA,NA,NA
ID5,1/9/2015,3,M,NA,NA,NA,NA
ID13,1/9/2015,9,R,NA,NA,NA,NA
ID13,1/9/2015,3,M,NA,NA,NA,NA
ID13,1/9/2015,1,F,NA,NA,NA,NA
ID13,1/9/2015,1,R,NA,NA,NA,NA
ID13,1/9/2015,1,gmd,NA,ID12,NA,ID12
ID13,1/9/2015,1,sitco,NA,NA,ID12,ID12
ID13,1/9/2015,7,R,NA,NA,NA,NA
ID13,1/9/2015,6,gm,ID34,NA,NA,ID34
ID13,1/9/2015,1,sitco,NA,NA,ID34,ID34
ID2,1/9/2015,2,F,NA,NA,NA,NA
ID2,1/9/2015,6,R,NA,NA,NA,NA
ID2,1/9/2015,3,gmd,NA,ID11,NA,ID11
ID2,1/9/2015,2,F,NA,NA,NA,NA
ID2,1/9/2015,7,M,NA,NA,NA,NA
ID2,1/9/2015,2,F,NA,NA,NA,NA
ID2,1/9/2015,8,F,NA,NA,NA,NA
ID8,1/9/2015,10,M,NA,NA,NA,NA
ID8,1/9/2015,9,R,NA,NA,NA,NA
ID8,1/9/2015,11,F,NA,NA,NA,NA
ID15,1/9/2015,1,F,NA,NA,NA,NA
ID15,1/9/2015,7,F,NA,NA,NA,NA
ID15,1/9/2015,4,M,NA,NA,NA,NA
ID15,1/9/2015,3,R,NA,NA,NA,NA
ID15,1/9/2015,6,F,NA,NA,NA,NA
ID15,1/9/2015,4,F,NA,NA,NA,NA
ID15,1/9/2015,5,F,NA,NA,NA,NA
ID16,1/9/2015,6,R,NA,NA,NA,NA
ID16,1/9/2015,3,F,NA,NA,NA,NA
ID16,1/9/2015,3,F,NA,NA,NA,NA
ID16,1/9/2015,11,F,NA,NA,NA,NA
ID16,1/9/2015,2,gmd,NA,ID18,NA,ID18
ID16,1/9/2015,5,F,NA,NA,NA,NA
ID17,1/9/2015,5,R,NA,NA,NA,NA
ID17,1/9/2015,3,M,NA,NA,NA,NA
ID17,1/9/2015,3,F,NA,NA,NA,NA
ID17,1/9/2015,16,F,NA,NA,NA,NA
ID17,1/9/2015,3,F,NA,NA,NA,NA
ID14,1/9/2015,11,M,NA,NA,NA,NA
ID14,1/9/2015,4,R,NA,NA,NA,NA
ID14,1/9/2015,2,F,NA,NA,NA,NA
ID14,1/9/2015,3,F,NA,NA,NA,NA
ID14,1/9/2015,2,F,NA,NA,NA,NA
ID14,1/9/2015,1,F,NA,NA,NA,NA
ID14,1/9/2015,7,F,NA,NA,NA,NA
ID3,1/10/2015,1,F,NA,NA,NA,NA
ID3,1/10/2015,5,R,NA,NA,NA,NA
ID3,1/10/2015,1,R,NA,NA,NA,NA
ID3,1/10/2015,1,F,NA,NA,NA,NA
ID3,1/10/2015,2,F,NA,NA,NA,NA
ID3,1/10/2015,2,F,NA,NA,NA,NA
ID3,1/10/2015,1,F,NA,NA,NA,NA
ID3,1/10/2015,13,F,NA,NA,NA,NA
ID3,1/10/2015,1,F,NA,NA,NA,NA
ID3,1/10/2015,1,F,NA,NA,NA,NA
ID3,1/10/2015,1,F,NA,NA,NA,NA
ID3,1/10/2015,1,F,NA,NA,NA,NA
ID8,1/10/2015,1,F,NA,NA,NA,NA
ID8,1/10/2015,2,F,NA,NA,NA,NA
ID8,1/10/2015,5,F,NA,NA,NA,NA
ID8,1/10/2015,2,F,NA,NA,NA,NA
ID8,1/10/2015,11,F,NA,NA,NA,NA
ID8,1/10/2015,7,F,NA,NA,NA,NA
ID8,1/10/2015,2,F,NA,NA,NA,NA
ID10,1/10/2015,11,F,NA,NA,NA,NA
ID10,1/10/2015,1,F,NA,NA,NA,NA
ID10,1/10/2015,1,F,NA,NA,NA,NA
ID10,1/10/2015,3,F,NA,NA,NA,NA
ID10,1/10/2015,1,F,NA,NA,NA,NA
ID10,1/10/2015,2,R,NA,NA,NA,NA
ID10,1/10/2015,7,F,NA,NA,NA,NA
ID10,1/10/2015,3,gmd,NA,ID35,NA,ID35
ID10,1/10/2015,1,F,NA,NA,NA,NA
ID14,1/11/2015,10,R,NA,NA,NA,NA
ID14,1/11/2015,1,F,NA,NA,NA,NA
ID14,1/11/2015,6,M,NA,NA,NA,NA
ID14,1/11/2015,2,F,NA,NA,NA,NA
ID14,1/11/2015,1,F,NA,NA,NA,NA
ID14,1/11/2015,3,F,NA,NA,NA,NA
ID14,1/11/2015,4,F,NA,NA,NA,NA
ID14,1/11/2015,1,F,NA,NA,NA,NA
ID14,1/11/2015,2,F,NA,NA,NA,NA
ID17,1/11/2015,8,M,NA,NA,NA,NA
ID17,1/11/2015,14,R,NA,NA,NA,NA
ID17,1/11/2015,2,F,NA,NA,NA,NA
ID17,1/11/2015,1,F,NA,NA,NA,NA
ID17,1/11/2015,2,F,NA,NA,NA,NA
ID17,1/11/2015,1,gm,ID36,NA,NA,ID36
ID17,1/11/2015,1,F,NA,NA,NA,NA
ID17,1/11/2015,1,R,NA,NA,NA,NA
ID18,1/11/2015,20,sitco,NA,NA,ID37,ID37
ID18,1/11/2015,2,gmd/sitco,NA,ID31,ID37,"ID31, ID37"
ID18,1/11/2015,4,M,NA,NA,NA,NA
ID18,1/11/2015,3,F/sitco,NA,NA,ID37,ID37
ID18,1/11/2015,1,F/sitco,NA,NA,ID37,ID37
ID3,1/11/2015,7,R,NA,NA,NA,NA
ID3,1/11/2015,4,F,NA,NA,NA,NA
ID3,1/11/2015,1,F,NA,NA,NA,NA
ID3,1/11/2015,6,F,NA,NA,NA,NA
ID3,1/11/2015,5,M,NA,NA,NA,NA
ID3,1/11/2015,1,sitco,NA,NA,ID23,ID23
ID3,1/11/2015,2,gm,ID23,NA,NA,ID23
ID3,1/11/2015,2,F,NA,NA,NA,NA
ID3,1/11/2015,2,F,NA,NA,NA,NA
ID9,1/11/2015,16,R,NA,NA,NA,NA
ID9,1/11/2015,3,F,NA,NA,NA,NA
ID9,1/11/2015,7,M,NA,NA,NA,NA
ID9,1/11/2015,4,F,NA,NA,NA,NA
ID1,1/11/2015,5,F,NA,NA,NA,NA
ID1,1/11/2015,13,R,NA,NA,NA,NA
ID1,1/11/2015,2,F,NA,NA,NA,NA
ID1,1/11/2015,6,M,NA,NA,NA,NA
ID1,1/11/2015,1,F,NA,NA,NA,NA
ID1,1/11/2015,1,F,NA,NA,NA,NA
ID1,1/11/2015,2,F,NA,NA,NA,NA
ID6,1/12/2015,13,R,NA,NA,NA,NA
ID6,1/12/2015,16,F,NA,NA,NA,NA
ID6,1/12/2015,1,F,NA,NA,NA,NA
ID2,1/12/2015,5,gmd,NA,ID7,NA,ID7
ID2,1/12/2015,1,R,NA,NA,NA,NA
ID2,1/12/2015,2,gm,ID7,NA,NA,ID7
ID2,1/12/2015,1,pg,NA,NA,NA,NA
ID2,1/12/2015,1,gmd,NA,ID7,NA,ID7
ID2,1/12/2015,16,R,NA,NA,NA,NA
ID2,1/12/2015,3,M,NA,NA,NA,NA
ID2,1/12/2015,1,F,NA,NA,NA,NA
ID6,1/13/2015,5,R,NA,NA,NA,NA
ID6,1/13/2015,4,ssitco,NA,NA,ID20,ID20
ID6,1/13/2015,4,gm,ID20,NA,NA,ID20
ID6,1/13/2015,2,gm,ID20,NA,NA,ID20
ID6,1/13/2015,1,M,NA,NA,NA,NA
ID6,1/13/2015,4,gmd/sitco,NA,ID9,ID20,"ID9, ID20"
